all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MUTECT,rate_MUSE,rate_VARSCANS,rate_SOMATICSNIPER,rate_RADIA,vtype,grouping,filter,centers,vaf_bin,lc,rate_INDELOCATOR,rate_VARSCANI,rate_PINDEL
,3305440,5,2008211,0.6075472554334672,0.6070207291758268,0.6080735317165972,0.8339485817319328,0.8402583014666731,3305440,0.39245274456653273,9.07594752892202e-07,0.7820629338152425,0.23627234914881143,0.9147414565080595,0.912286412701486,0.8759454112009294,0.6584373033544703,0.8398809235684206,snv,lc,all,strict,,False,,,
,117488,5,64711,0.5507881655998911,0.5479422914814722,0.55363071862564,0.8067717554133188,0.8134141359117526,117488,0.4492118344001089,4.255753779109356e-05,0.745578843813216,0.21669933211793982,0.9062627672613374,0.9055648236415634,0.8361109219664987,0.6403547596350265,0.7787774070543375,snv,lc,all,strict,,True,,,
,39155,5,0,0.0,0.0,9.809939920550995e-05,0.0,0.4,39155,1.0,0.0,0.1111111111111111,-0.25,0.9991061167156174,1.0,0.0,0.0,0.0008938832843825821,snv,vaf_bin+lc,all,strict,<5%,False,,,
,1875,5,0,0.0,2.168404344971009e-19,0.002044589128401138,0.0,0.4,1875,1.0,0.0,0.1111111111111111,-0.25,0.9984,1.0,0.0,0.0,0.0016,snv,vaf_bin+lc,all,strict,<5%,True,,,
,313751,5,9,2.8685167537314622e-05,1.5091892461246091e-05,5.4521244722999544e-05,0.3125089641148554,0.47735943471096504,313751,0.9999713148324627,3.1872408374794024e-06,0.2288340338515101,-0.17267512290505418,0.7351211629604367,0.694694200177848,0.6018913087129603,0.00015617480103649072,0.35493432690254373,snv,vaf_bin+lc,all,strict,5-10%,False,,,
,10324,5,0,0.0,0.0,0.00037195176126694437,0.3179000387446726,0.47737311119721043,10324,1.0,0.0,0.2196564113136624,-0.1748197115453318,0.8298140255714839,0.7895195660596668,0.5123014335528865,0.000581170089112747,0.25464936071290195,snv,vaf_bin+lc,all,strict,5-10%,True,,,
,772757,5,190000,0.24587289406631063,0.24491408599040232,0.2468342287164455,0.7799994047287828,0.7416823141039163,772757,0.7541271059336894,1.294067863506898e-06,0.5953125455900949,0.047071558524645535,0.8346763600976762,0.8230271611903871,0.9049934196649141,0.26308011444736185,0.8826345151192418,snv,vaf_bin+lc,all,strict,10-20%,False,,,
,25787,5,5789,0.2244929615697832,0.21944158377500217,0.22962641105227016,0.7758948307286617,0.7299957342847171,25787,0.7755070384302167,3.8779229844495286e-05,0.5762437556000395,0.03534920812112746,0.8575638887811688,0.8436033660371505,0.8666382285647807,0.25276302012642027,0.8294101679140652,snv,vaf_bin+lc,all,strict,10-20%,True,,,
,2179777,5,1818202,0.8341229400989184,0.8336285522973592,0.8346161502412459,0.943108859300745,0.9353476066588463,2179777,0.16587705990108162,4.5876252479037995e-07,0.9120355390283678,0.2852168432635842,0.9674641029793415,0.9736739125149041,0.9208285985217753,0.905174703650878,0.9095967156273326,snv,vaf_bin+lc,all,strict,>=20%,False,,,
,79502,5,58922,0.7411385877084853,0.7380823024822535,0.7441715708996021,0.8992981308646323,0.8938592739805287,79502,0.25886141229151466,5.031319966793288e-05,0.8580761098057345,0.2740305940231824,0.9298130864632337,0.938504691705869,0.8879776609393475,0.8642549872959171,0.8487459434982768,snv,vaf_bin+lc,all,strict,>=20%,True,,,
all,146573,3,0,0.0,0.0,2.620781552161734e-05,0.2329078343214644,0.4109692781071548,146573,1.0,0.7670921656785357,0.3332454778848313,-0.3769920757683249,,,,,,indel,all,PASS,strict,,,0.23294876955510224,0.23292830193828332,0.7670307628280788
,9570,3,0,0.0,0.0,0.0004012452929387987,0.1089864158829676,0.3696621386276559,9570,1.0,0.8910135841170324,0.3330140485312899,-0.43054123136935457,,,,,,indel,vaf_bin,PASS,strict,5-10%,,0.10909090909090909,0.1089864158829676,0.8909090909090909
,34861,3,0,0.0,0.0,0.00011018145099645215,0.0943461174378245,0.3647820391459415,34861,1.0,0.9056538825621755,0.3331307606603869,-0.43854194390394685,,,,,,indel,vaf_bin,PASS,strict,10-20%,,0.09440348813860762,0.0943461174378245,0.9055965118613923
,102142,3,0,0.0,0.0,3.760758897113574e-05,0.2918094417575532,0.43060314725251775,102142,1.0,0.7081905582424468,0.33326624625430473,-0.35952276201916455,,,,,,indel,vaf_bin,PASS,strict,>=20%,,0.29183881263339273,0.29183881263339273,0.7081318164907677
