vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
<5%,vtype,1013,1.0,12871,1.0,0.0,-0.0037778345752633724,0.00029836940773042553,1.0,1.0,False,False,0.1,union_hc,native
5-10%,vtype,937,0.9583778014941302,18012,0.9999444814568066,-0.04156667996267638,-0.0563368699764646,-0.030536637496712267,2.099867555970461e-50,8.399470223881844e-50,False,False,0.1,union_hc,native
10-20%,vtype,320,0.915625,11929,0.8898482689244698,0.025776731075530246,-0.01024607551469655,0.05215095300201683,0.17173371761751338,0.5152011528525402,True,False,0.1,union_hc,native
>=20%,vtype,112,1.0,9980,0.9909819639278558,0.009018036072144242,-0.02418558763665237,0.011070882822191486,0.628403579269197,1.0,True,False,0.1,union_hc,native
<5%,vtype,1013,1.0,12871,0.8423587910807241,0.1576412089192759,0.1503867353074525,0.16403867759035762,5.968076598103722e-73,1.7904229794311166e-72,True,True,0.1,union_hc,shared4
5-10%,vtype,937,0.9583778014941302,18012,0.586275816122585,0.37210198537154526,0.35568211862585924,0.38527694636335436,7.204106390765892e-114,2.8816425563063566e-113,True,True,0.1,union_hc,shared4
10-20%,vtype,320,0.915625,4591,0.39904160313657155,0.5165833968634285,0.4782381298990647,0.5459213464136738,3.0411495744793393e-72,6.082299148958679e-72,True,True,0.1,union_hc,shared4
>=20%,vtype,112,1.0,255,0.6470588235294118,0.3529411764705882,0.28779371745085525,0.41338215663154765,2.6834318263770705e-17,2.6834318263770705e-17,True,True,0.1,union_hc,shared4
<5%,vtype,1625,0.9932307692307693,39291,0.9976584968567865,-0.004427727626017286,-0.00975692208897835,-0.0013960083900121868,0.0012042571509312714,0.0012042571509312714,False,False,0.05,truth,native
5-10%,vtype,0,,155,0.9935483870967742,,,,,,False,False,0.05,truth,native
<5%,vtype,1625,0.9932307692307693,39291,0.89295258456135,0.10027818466941929,0.09416862516731501,0.10457865079851343,1.450797169361963e-38,1.450797169361963e-38,True,True,0.05,truth,shared4
5-10%,vtype,0,,155,0.6645161290322581,,,,,,False,False,0.05,truth,shared4
<5%,vtype,879,1.0,13368,1.0,0.0,-0.004351244249251263,0.00028727971629960436,1.0,1.0,False,False,0.05,union,native
5-10%,vtype,1900,0.991578947368421,36310,0.9998898375103278,-0.00831089014190678,-0.01352602734628858,-0.005075312638737052,5.270062171208368e-18,2.1080248684833473e-17,False,False,0.05,union,native
10-20%,vtype,1918,0.9379562043795621,30275,0.8821139554087531,0.055842248970808916,0.0436093189085662,0.06644691533142069,1.2671296993210857e-13,3.801389097963257e-13,True,True,0.05,union,native
>=20%,vtype,419,0.964200477326969,18183,0.9801462904911181,-0.015945813164149114,-0.038449520786016725,-0.0017978315181674427,0.03421255493086466,0.06842510986172932,False,False,0.05,union,native
<5%,vtype,879,1.0,13090,0.8968678380443086,0.10313216195569141,0.09643265107977016,0.10845915335354284,1.222251860519916e-40,2.444503721039832e-40,True,True,0.05,union,shared4
5-10%,vtype,1900,0.991578947368421,36293,0.7604221199680379,0.23115682740038312,0.22435730107681184,0.23663072379630584,6.749311979754809e-121,2.0247935939264428e-120,True,True,0.05,union,shared4
10-20%,vtype,1918,0.9379562043795621,20982,0.6020875035744925,0.3358687008050696,0.3224371318757488,0.3478274641676764,1.0676788170483466e-186,4.270715268193386e-186,True,True,0.05,union,shared4
>=20%,vtype,419,0.964200477326969,2419,0.8507647788342291,0.11343569849273993,0.08719018984705368,0.13376642998044805,4.231330462913834e-10,4.231330462913834e-10,True,True,0.05,union,shared4
<5%,vtype,779,1.0,12519,1.0,0.0,-0.004907071256140649,0.0003067561649906514,1.0,1.0,False,False,0.05,union_hc,native
5-10%,vtype,677,0.9896602658788775,14885,1.0,-0.010339734121122546,-0.021187602118957538,-0.005011160145309104,2.862425228373251e-10,1.1449700913493003e-09,False,False,0.05,union_hc,native
