vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,purity,denom,callerset
snv,H2,<5%,0.5,5145,0.00038872691933916425,0.0001066094158182426,0.0014163465507634428,0.0,True,0.0,True,0.5,truth,native
indel,H1,>=20%,0.8,330,0.6848484848484848,0.632841041581689,0.7326018858215431,0.9999997235320054,False,0.9999997235320054,False,0.5,truth,shared4
indel,H2,<5%,0.5,389,0.38046272493573263,0.33360768591168966,0.42965559012036414,1.3946160493774566e-06,True,2.789232098754913e-06,True,0.5,truth,shared4
snv,H1,>=20%,0.8,16636,0.9300312575138254,0.9260547941220778,0.933809167647546,0.0,True,0.0,True,0.5,truth,shared4
snv,H2,<5%,0.5,5145,0.26724975704567544,0.25533484175890564,0.2795119739462031,3.994178680044986e-254,True,1.1982536040134957e-253,True,0.5,truth,shared4
indel,H1,>=20%,0.8,19008,0.249631734006734,0.24353001815250555,0.2558346267391628,1.0,False,1.0,False,0.5,union,native
indel,H2,<5%,0.5,831,0.0036101083032490976,0.0012285058669482584,0.010559910624245501,6.679263443340123e-243,True,2.0037790330020368e-242,True,0.5,union,native
snv,H1,>=20%,0.8,125521,0.5348587089012994,0.5320983653386211,0.5376169188895676,1.0,False,1.0,False,0.5,union,native
snv,H2,<5%,0.5,8032,0.0,2.710505431213761e-20,0.00047804064333268736,0.0,True,0.0,True,0.5,union,native
indel,H1,>=20%,0.8,19008,0.249631734006734,0.24353001815250555,0.2558346267391628,1.0,False,1.0,False,0.5,union,shared4
indel,H2,<5%,0.5,831,0.0036101083032490976,0.0012285058669482584,0.010559910624245501,6.679263443340123e-243,True,2.0037790330020368e-242,True,0.5,union,shared4
snv,H1,>=20%,0.8,102697,0.6540015774560114,0.6510865178516716,0.65690511640074,1.0,False,1.0,False,0.5,union,shared4
snv,H2,<5%,0.5,6391,0.11125019558754498,0.10377339811951886,0.11919404650007626,0.0,True,0.0,True,0.5,union,shared4
indel,H1,>=20%,0.8,1102,0.4010889292196007,0.37254343381151855,0.4303216168147418,1.0,False,1.0,False,0.5,union_hc,native
