vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
indel,>=20%,lc,13357,0.8577524893314367,5651,0.496549283312688,0.36120320601874867,0.3468433972694345,0.375473617281853,0.0,0.0,True,True,0.5,union,native
snv,<5%,lc,2413,1.0,5619,1.0,0.0,-0.001589454205477292,0.0006831881796467432,1.0,1.0,False,False,0.5,union,native
snv,5-10%,lc,1626,1.0,6860,0.9998542274052478,0.00014577259475223592,-0.002214234689554058,0.0008253151341560683,1.0,1.0,True,False,0.5,union,native
snv,10-20%,lc,12033,0.9649297764481011,14985,0.42462462462462464,0.5403051518234765,0.5316597785712672,0.5488009489206643,0.0,0.0,True,True,0.5,union,native
snv,>=20%,lc,28368,0.8749294980259448,97153,0.3454859860220477,0.529443512003897,0.5245252292450907,0.5342741189994936,0.0,0.0,True,True,0.5,union,native
indel,<5%,lc,342,0.9970760233918129,489,0.9959100204498977,0.0011660029419151563,-0.012607746225887647,0.012131967680388397,1.0,1.0,True,False,0.5,union,shared4
indel,5-10%,lc,407,0.9926289926289926,496,0.8024193548387096,0.190209637790283,0.15464695988381885,0.22783287217716933,6.305963300979033e-24,1.8917889902937096e-23,True,True,0.5,union,shared4
indel,10-20%,lc,869,0.953970080552359,895,0.4960893854748603,0.4578806950774987,0.42145492055283235,0.49270037133906996,1.3684350698561666e-101,5.473740279424666e-101,True,True,0.5,union,shared4
indel,>=20%,lc,13357,0.8577524893314367,5651,0.496549283312688,0.36120320601874867,0.3468433972694345,0.375473617281853,0.0,0.0,True,True,0.5,union,shared4
snv,<5%,lc,772,0.9689119170984456,5619,0.8777362520021356,0.09117566509631003,0.07424416458896711,0.10459471162014003,6.719583457993796e-14,1.3439166915987592e-13,True,True,0.5,union,shared4
snv,5-10%,lc,1443,0.9064449064449065,6860,0.3932944606413994,0.5131504458035071,0.493278709625576,0.5312387657483623,6.015628164756883e-275,3.0078140823784413e-274,True,True,0.5,union,shared4
snv,10-20%,lc,2395,0.7732776617954071,13800,0.1932608695652174,0.5800167922301898,0.561568650824043,0.5975879052343664,0.0,0.0,True,True,0.5,union,shared4
snv,>=20%,lc,10702,0.6678190992337881,91995,0.3085602478395565,0.35925885139423164,0.34979114773171577,0.3686072712457008,0.0,0.0,True,True,0.5,union,shared4
indel,<5%,lc,314,0.9968152866242038,431,0.9953596287703016,0.0014556578539022258,-0.013558144535634259,0.013855181649473497,1.0,1.0,True,False,0.5,union_hc,native
indel,5-10%,lc,330,0.9939393939393939,417,0.7697841726618705,0.2241552212775234,0.18316959838720162,0.26713852321325504,2.8597768653803335e-24,1.1439107461521334e-23,True,True,0.5,union_hc,native
indel,10-20%,lc,370,0.9162162162162162,681,0.3935389133627019,0.5226773028535143,0.4731641705658757,0.5660146486814664,7.259253290567318e-60,3.629626645283659e-59,True,True,0.5,union_hc,native
indel,>=20%,lc,603,0.8606965174129353,499,0.28256513026052105,0.5781313871524143,0.5273305836827272,0.6235904911618915,4.3315037393689005e-84,2.5989022436213405e-83,True,True,0.5,union_hc,native
snv,<5%,lc,514,1.0,3992,1.0,0.0,-0.007418214117970612,0.0009613641732993949,1.0,1.0,False,False,0.5,union_hc,native
snv,5-10%,lc,1064,1.0,5733,0.9998255712541427,0.00017442874585726909,-0.003425843260333437,0.0009874444356156031,1.0,1.0,True,False,0.5,union_hc,native
snv,10-20%,lc,8499,0.954935874808801,12218,0.35971517433295136,0.5952207004758496,0.5855002490697081,0.6046736130932011,0.0,0.0,True,True,0.5,union_hc,native
snv,>=20%,lc,11340,0.9248677248677248,18195,0.16977191536136302,0.7550958095063618,0.7476465719815935,0.762249635863365,0.0,0.0,True,True,0.5,union_hc,native
indel,<5%,lc,314,0.9968152866242038,431,0.9953596287703016,0.0014556578539022258,-0.013558144535634259,0.013855181649473497,1.0,1.0,True,False,0.5,union_hc,shared4
indel,5-10%,lc,330,0.9939393939393939,417,0.7697841726618705,0.2241552212775234,0.18316959838720162,0.26713852321325504,2.8597768653803335e-24,8.579330596141e-24,True,True,0.5,union_hc,shared4
indel,10-20%,lc,370,0.9162162162162162,681,0.3935389133627019,0.5226773028535143,0.4731641705658757,0.5660146486814664,7.259253290567318e-60,2.903701316226927e-59,True,True,0.5,union_hc,shared4
indel,>=20%,lc,603,0.8606965174129353,499,0.28256513026052105,0.5781313871524143,0.5273305836827272,0.6235904911618915,4.3315037393689005e-84,2.16575186968445e-83,True,True,0.5,union_hc,shared4
snv,<5%,lc,514,0.9571984435797666,3992,0.8552104208416834,0.10198802273808316,0.07834025148158669,0.12024141279039641,2.3439000266103523e-10,4.687800053220705e-10,True,True,0.5,union_hc,shared4
snv,5-10%,lc,1064,0.8834586466165414,5733,0.3240886098028955,0.5593700368136458,0.5353494501019866,0.5809296393028173,1.2784389321896506e-253,8.949072525327554e-253,True,True,0.5,union_hc,shared4
snv,10-20%,lc,1322,0.6285930408472012,11455,0.11348756001745962,0.5151054808297416,0.4880618312896782,0.5413653986126064,0.0,0.0,True,True,0.5,union_hc,shared4
snv,>=20%,lc,1237,0.3104284559417947,16100,0.06173913043478261,0.2486893255070121,0.22323764756932402,0.27527280559703327,1.956132627890658e-212,1.173679576734395e-211,True,True,0.5,union_hc,shared4
indel,<5%,lc,163,0.9263803680981595,804,0.8308457711442786,0.09553459695388089,0.03935309551960404,0.13696168896407182,0.0029804928194146147,0.008941478458243845,True,True,0.2,truth,native
indel,5-10%,lc,129,0.9069767441860465,338,0.591715976331361,0.3152607678546855,0.23450491283270436,0.3811851996814228,1.4262212579942617e-10,7.131106289971308e-10,True,True,0.2,truth,native
indel,10-20%,lc,91,0.9340659340659341,100,0.48,0.4540659340659341,0.3342684733320713,0.5557682307046612,2.7707739795700455e-11,1.6624643877420274e-10,True,True,0.2,truth,native
snv,<5%,lc,828,0.9963768115942029,13988,0.9954246496997426,0.000952161894460235,-0.006092593053425103,0.003655317478173412,1.0,1.0,True,False,0.2,truth,native
snv,5-10%,lc,846,0.9042553191489362,12367,0.8552599660386513,0.04899535311028491,0.026462512130753225,0.06810696637112405,9.479903734550355e-05,0.0003791961493820142,True,True,0.2,truth,native
snv,10-20%,lc,712,0.5154494382022472,10550,0.38454976303317534,0.13089967516907186,0.09304045248091697,0.16857751464975523,5.881150134623926e-12,4.116805094236748e-11,True,True,0.2,truth,native
snv,>=20%,lc,2,0.5,153,0.23529411764705882,0.2647058823529412,-0.14731459935044888,0.6746218472761942,0.4216170925848345,0.843234185169669,True,False,0.2,truth,native
