all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MuTect2,rate_SomaticSniper,rate_VarDict,rate_MuSE,rate_Strelka,vtype,grouping,run,flags,callerset,denom,vaf_bin,lc
,1242,3,1011,0.8140096618357487,0.7914136386142949,0.8346692345133526,0.9323671497584541,0.9012345679012346,1189,0.14970563498738435,0.0249597423510467,0.8991904821274045,0.4632966051220974,0.9235104669887279,,0.9323671497584541,,0.8478260869565217,indel,lc,IL_T_1,strict,native,truth,,False
,383,3,272,0.7101827676240209,0.6628380311041239,0.7533531405733295,0.8798955613577023,0.8520452567449955,370,0.2648648648648649,0.08616187989556136,0.8186896023630718,0.32342726671874084,0.8955613577023499,,0.8642297650130548,,0.7963446475195822,indel,lc,IL_T_1,strict,native,truth,,True
,89,3,19,0.21348314606741572,0.1411479650217861,0.309528482248426,0.5056179775280899,0.46816479400749067,61,0.6885245901639344,0.1797752808988764,0.48664792347770286,0.368225352112676,0.6404494382022472,,0.5393258426966292,,0.2247191011235955,indel,vaf_bin+lc,IL_T_1,strict,native,truth,<5%,False
,13,3,5,0.38461538461538464,0.17709707797762575,0.6447710848733431,0.6923076923076923,0.6666666666666666,12,0.5833333333333334,0.23076923076923078,0.5681818181818182,0.19230769230769212,0.7692307692307693,,0.8461538461538461,,0.38461538461538464,indel,vaf_bin+lc,IL_T_1,strict,native,truth,<5%,True
,255,3,164,0.6431372549019608,0.5826118483427289,0.6994140695013245,0.8745098039215686,0.8143790849673204,236,0.3050847457627119,0.050980392156862744,0.7916502530486418,0.37738792304388113,0.8941176470588236,,0.8901960784313725,,0.6588235294117647,indel,vaf_bin+lc,IL_T_1,strict,native,truth,5-10%,False
,32,3,17,0.53125,0.3644951711897464,0.6913061289193116,0.6875,0.6875,27,0.37037037037037035,0.15625,0.7364053016226929,0.515151515151515,0.8125,,0.6875,,0.5625,indel,vaf_bin+lc,IL_T_1,strict,native,truth,5-10%,True
,342,3,304,0.8888888888888888,0.8511671345225094,0.9179714207769321,0.9824561403508771,0.9532163742690059,338,0.10059171597633136,0.005847953216374269,0.9327568798722644,0.2569018404907956,0.9649122807017544,,0.9853801169590644,,0.9093567251461988,indel,vaf_bin+lc,IL_T_1,strict,native,truth,10-20%,False
,80,3,45,0.5625,0.4534113429694972,0.6658613908385618,0.75,0.7583333333333333,77,0.4155844155844156,0.2125,0.7043736390155718,0.27245168624478955,0.9375,,0.7125,,0.625,indel,vaf_bin+lc,IL_T_1,strict,native,truth,10-20%,True
,556,3,524,0.9424460431654677,0.9198805163964903,0.9589397143102494,0.9964028776978417,0.9784172661870504,554,0.05415162454873646,0.0,0.9638989169675091,0.14828431372548945,0.9568345323741008,,0.9820143884892086,,0.9964028776978417,indel,vaf_bin+lc,IL_T_1,strict,native,truth,>=20%,False
,258,3,205,0.7945736434108527,0.7411260107394655,0.8393779349862867,0.9534883720930233,0.9108527131782945,254,0.19291338582677164,0.031007751937984496,0.8702442100651396,0.220351526364477,0.8992248062015504,,0.9341085271317829,,0.8992248062015504,indel,vaf_bin+lc,IL_T_1,strict,native,truth,>=20%,True
