vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,run,flags,callerset,denom
<5%,vtype,102,0.6274509803921569,1292,0.6973684210526315,-0.06991744066047467,-0.16980296146626972,0.021347157194568464,0.17337875937950187,0.17337875937950187,False,False,NV_T_1,strict,shared3,truth
5-10%,vtype,287,0.20905923344947736,3853,0.3039190241370361,-0.09485979068755873,-0.14035274231360845,-0.042143247183899654,0.0008848084072225152,0.0017696168144450304,False,False,NV_T_1,strict,shared3,truth
10-20%,vtype,422,0.14691943127962084,6271,0.06219103811194387,0.08472839316767697,0.053506399203638685,0.12212771526840085,3.751191980620657e-11,1.125357594186197e-10,True,True,NV_T_1,strict,shared3,truth
>=20%,vtype,814,0.13513513513513514,28030,0.027434891188012844,0.1077002439471223,0.0858318344893467,0.1329742945667264,1.0256570307509291e-68,4.1026281230037165e-68,True,True,NV_T_1,strict,shared3,truth
<5%,vtype,102,0.8137254901960784,1292,0.8204334365325078,-0.006707946336429349,-0.095411763415573,0.06059787428906216,0.9713563459620669,0.9713563459620669,False,False,FD_T_1,strict,shared3,truth
5-10%,vtype,287,0.41114982578397213,3853,0.517259278484298,-0.10610945270032585,-0.1636934620574817,-0.046255393936104915,0.0006547857750229874,0.001964357325068962,False,False,FD_T_1,strict,shared3,truth
10-20%,vtype,422,0.1848341232227488,6271,0.1695104449051188,0.015323678317630013,-0.02010390418345162,0.05616612666153309,0.4572366182535137,0.9144732365070274,True,False,FD_T_1,strict,shared3,truth
>=20%,vtype,814,0.09090909090909091,28030,0.022832679272208348,0.06807641163688256,0.05011005837431946,0.08985911616267764,2.799443249581567e-34,1.1197772998326268e-33,True,True,FD_T_1,strict,shared3,truth
<5%,vtype,102,0.7549019607843137,1292,0.7941176470588235,-0.039215686274509776,-0.13334457252199294,0.03749980495195754,0.41699070049283515,0.8339814009856703,False,False,NS_T_1,strict,shared3,truth
5-10%,vtype,287,0.4250871080139373,3853,0.44900077861406695,-0.023913670600129666,-0.08192591523775647,0.03597896064954615,0.46875920245101177,0.8339814009856703,False,False,NS_T_1,strict,shared3,truth
10-20%,vtype,422,0.1872037914691943,6271,0.1353851060436932,0.05181868542550111,0.016401426322051653,0.09263769752793094,0.003627871665172508,0.010894756153569485,True,True,NS_T_1,strict,shared3,truth
>=20%,vtype,814,0.13513513513513514,28030,0.1021048876204067,0.03303024751472844,0.010956050118969163,0.0584771129070257,0.0027236890383923714,0.010894756153569485,True,True,NS_T_1,strict,shared3,truth
<5%,vtype,102,0.6078431372549019,1292,0.8065015479876161,-0.19865841073271417,-0.2978353912751189,-0.1066977294039672,3.621779219832393e-06,1.086533765949718e-05,False,False,NS_380X,strict,shared3,truth
5-10%,vtype,287,0.25435540069686413,3853,0.1648066441733714,0.08954875652349273,0.04111565266778442,0.14414763523674862,0.00014140054011676899,0.00028280108023353797,True,True,NS_380X,strict,shared3,truth
10-20%,vtype,422,0.21800947867298578,6271,0.09264870036676766,0.1253607783062181,0.08786322911836889,0.1677727358918426,2.3025749872616523e-16,9.21029994904661e-16,True,True,NS_380X,strict,shared3,truth
>=20%,vtype,814,0.3157248157248157,28030,0.2853371387798787,0.030387676944936992,-0.0010663553132402234,0.06353982833026331,0.0640853059990623,0.0640853059990623,True,False,NS_380X,strict,shared3,truth
