all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MuTect2,rate_SomaticSniper,rate_VarDict,rate_MuSE,rate_Strelka,rate_TNscope,vtype,grouping,denom,callerset,vaf_bin,lc
,75600,6,0,0.0,0.0,5.081036553924923e-05,5.291005291005291e-05,0.17035493827160494,75600,1.0,0.9788227513227513,0.019757075900054533,-0.19442208554906448,0.0582010582010582,0.383994708994709,0.5567989417989418,0.004021164021164021,0.015,0.004113756613756614,snv,vaf_bin,union,native,<5%,
,69448,6,0,0.0,0.0,5.5311115443523535e-05,0.017552701301693355,0.19448604231463348,69448,1.0,0.9101629996544177,0.10465003478380004,-0.12506881980530168,0.09826056905886418,0.022851629996544175,0.9519064623891257,0.023182813039972352,0.056473908535882966,0.014240870867411588,snv,vaf_bin,union,native,5-10%,
,35365,6,3511,0.09927894811254065,0.09620570811264198,0.10243923384851203,0.1902163155662378,0.31908666760921817,35365,0.9007210518874593,0.7383005796691644,0.4130016829464572,0.2544585175589344,0.24247136999858618,0.2867807153965785,0.7764173617983883,0.19785098260992506,0.22191432206984307,0.18908525378198784,snv,vaf_bin,union,native,10-20%,
,158336,6,86813,0.5482833973322555,0.5458309702624631,0.550733481609724,0.6642646018593371,0.7089501650498518,158336,0.45171660266774455,0.2785847817299919,0.789768150195594,0.5830168333151524,0.5845543654001617,0.8169525565885206,0.7802394907033144,0.6659003637833468,0.6932725343573161,0.7127816794664511,snv,vaf_bin,union,native,>=20%,
,37111,6,0,0.0,6.776263578034403e-21,0.00010350195958552767,0.0,0.1717145859718143,37111,1.0,0.9706286545768101,0.023831367436776465,-0.1926872410662044,0.08121581202338929,0.6890140389641886,0.23020128802780845,0.0007006009000026947,0.028805475465495407,0.00035030045000134733,snv,vaf_bin+lc,union,native,<5%,False
,38489,6,0,0.0,0.0,9.979670700079868e-05,0.0001039257969809556,0.169043969272606,38489,1.0,0.986723479435683,0.008184231619738627,-0.1961455542162893,0.036010288653901115,0.08989581438852659,0.8717036036270103,0.007222842890176414,0.0016887942009405285,0.007742471875081192,snv,vaf_bin+lc,union,native,<5%,True
,34610,6,0,0.0,0.0,0.00011098042455831499,0.03276509679283444,0.21494751035346238,34610,1.0,0.8542039872869113,0.12828139621265586,-0.08068115713648312,0.1528171048829818,0.023981508234614275,0.9511412886449003,0.037561398439757296,0.1040161802947125,0.020167581623808148,snv,vaf_bin+lc,union,native,5-10%,False
,34838,6,0,0.0,0.0,0.00011025418461978584,0.0024398645157586545,0.17415848594446678,34838,1.0,0.9657557839141168,0.04025783642633976,-0.18329156240058506,0.044061082725759225,0.02172914633446237,0.9526666283942821,0.008898329410413916,0.009242780871462197,0.008352947930420804,snv,vaf_bin+lc,union,native,5-10%,True
,16846,6,3348,0.19874154101863944,0.1927845012842174,0.20483594370302047,0.3721358185919506,0.4545886263801496,16846,0.8012584589813606,0.5484981598005462,0.5452278394201406,0.3951133209243103,0.41784399857532944,0.3936839605841149,0.8008429300724208,0.36744627804820135,0.40294431912620204,0.344770271874629,snv,vaf_bin+lc,union,native,10-20%,False
,18519,6,163,0.008801771153949997,0.007554673478150292,0.010252608388078795,0.024731356984718397,0.1958259085263783,18519,0.99119822884605,0.9109563151358064,0.11965770198547544,-0.09798683200465985,0.08294184351206868,0.1895350720881257,0.7541983908418382,0.043576867001457964,0.057238511798693235,0.047464765916086185,snv,vaf_bin+lc,union,native,10-20%,True
,130369,6,81882,0.6280787610551588,0.6254514482277161,0.6306985261559294,0.7494879917771863,0.7763565980665138,130369,0.3719212389448412,0.20689734522777653,0.8378607459290106,0.5898596061476175,0.6619901970560486,0.8996540588636869,0.7959791054621881,0.7458598286402442,0.7682117681350628,0.786444630241852,snv,vaf_bin+lc,union,native,>=20%,False
,27967,6,4931,0.1763149426109343,0.17189315752020282,0.18082563620451972,0.2669932420352558,0.39473307827081916,27967,0.8236850573890657,0.6127578932313084,0.46794733710341135,0.3505535475653212,0.22358493939285587,0.4314370508098831,0.7068688096685379,0.2931669467586799,0.34394107340794505,0.36939964958701327,snv,vaf_bin+lc,union,native,>=20%,True
all,64345,4,7613,0.11831533141658249,0.115842528449745,0.12083370555155952,0.2133188281917787,0.40531898360400964,64345,0.8816846685834175,0.7103582251923226,0.3325174526877679,0.0591368994750606,0.21232418991374621,,0.8151216100707126,,0.260051286036211,0.3337788483953687,indel,all,union,native,,
,17549,4,16,0.0009117328622713545,0.000561304501779712,0.001480613264342593,0.011909510513419569,0.2679782323779133,17549,0.9990882671377287,0.9409083138640378,0.0462559792423529,-0.29331303551865273,0.19254658385093168,,0.8264858396489828,,0.0033620149296256195,0.04951849108211294,indel,vaf_bin,union,native,<5%,
,9333,4,120,0.01285760205721633,0.010764087412623174,0.01535196691861241,0.03589413907639558,0.281099324975892,9333,0.9871423979427837,0.924354441230044,0.15352231655318802,-0.2376045656229908,0.08893174756241294,,0.9390335369120326,,0.0415729133183328,0.05485910211078967,indel,vaf_bin,union,native,5-10%,
