vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,run,flags,callerset,denom
pooled,H1,>=20%,0.8,221377,0.2912633200377636,0.2893743186184864,0.29315956556502376,1.0,False,1.0,False,NS_380X,strict,native,union
pooled,H2,<5%,0.5,185898,0.0009144799836469462,0.0007870040360280902,0.0010625820472644674,0.0,True,0.0,True,NS_380X,strict,native,union
indel,H1,>=20%,0.8,3323,0.22840806500150465,0.21445289933625372,0.2429904377322219,1.0,False,1.0,False,IL_T_1,strict,native,union_hc
indel,H2,<5%,0.5,9994,0.002601560936561937,0.001776054360222914,0.0038092971429685516,0.0,True,0.0,True,IL_T_1,strict,native,union_hc
snv,H1,>=20%,0.8,39023,0.6923609153576096,0.687763123530146,0.6969208385537704,1.0,False,1.0,False,IL_T_1,strict,native,union_hc
snv,H2,<5%,0.5,9705,0.0,0.0,0.0003956660366725915,0.0,True,0.0,True,IL_T_1,strict,native,union_hc
pooled,H1,>=20%,0.8,42346,0.655953336796864,0.6514147023444078,0.6604636788968287,1.0,False,1.0,False,IL_T_1,strict,native,union_hc
pooled,H2,<5%,0.5,19699,0.0013198639524848977,0.0009009063250925084,0.0019332767006098408,0.0,True,0.0,True,IL_T_1,strict,native,union_hc
indel,H1,>=20%,0.8,2547,0.3027090694935218,0.28517474286008276,0.32083761963906215,1.0,False,1.0,False,NV_T_1,strict,native,union_hc
indel,H2,<5%,0.5,12762,0.0036828083372512145,0.002770818047772898,0.004893499195732388,0.0,True,0.0,True,NV_T_1,strict,native,union_hc
snv,H1,>=20%,0.8,40486,0.6708738823296942,0.6662806867460019,0.6754346547198716,1.0,False,1.0,False,NV_T_1,strict,native,union_hc
snv,H2,<5%,0.5,11660,0.0,2.710505431213761e-20,0.00032934765396601395,0.0,True,0.0,True,NV_T_1,strict,native,union_hc
pooled,H1,>=20%,0.8,43033,0.6490832616828945,0.6445609358682497,0.6535789732205061,1.0,False,1.0,False,NV_T_1,strict,native,union_hc
pooled,H2,<5%,0.5,24422,0.0019244943084104496,0.0014476518097545144,0.0025580017512760915,0.0,True,0.0,True,NV_T_1,strict,native,union_hc
indel,H1,>=20%,0.8,3749,0.2355294745265404,0.22222151757392367,0.24937886262888276,1.0,False,1.0,False,FD_T_1,strict,native,union_hc
indel,H2,<5%,0.5,5799,0.000862217623728229,0.00036834229466918024,0.0020169475532301126,0.0,True,0.0,True,FD_T_1,strict,native,union_hc
snv,H1,>=20%,0.8,37743,0.713695254749225,0.7091133123534697,0.718233702034419,1.0,False,1.0,False,FD_T_1,strict,native,union_hc
snv,H2,<5%,0.5,3229,0.0,1.0842021724855044e-19,0.0011882608131657184,0.0,True,0.0,True,FD_T_1,strict,native,union_hc
pooled,H1,>=20%,0.8,41492,0.6704906970018317,0.6659524129563744,0.6749974148484209,1.0,False,1.0,False,FD_T_1,strict,native,union_hc
pooled,H2,<5%,0.5,9028,0.0005538325210456358,0.00023658661739720682,0.0012959312953454106,0.0,True,0.0,True,FD_T_1,strict,native,union_hc
indel,H1,>=20%,0.8,3515,0.22133712660028448,0.2079212502665959,0.23536142588541806,1.0,False,1.0,False,NS_T_1,strict,native,union_hc
indel,H2,<5%,0.5,8695,0.0011500862564692352,0.0006248408353006505,0.0021159217057293046,0.0,True,0.0,True,NS_T_1,strict,native,union_hc
snv,H1,>=20%,0.8,37875,0.6557623762376238,0.6509618817118575,0.6605312776770608,1.0,False,1.0,False,NS_T_1,strict,native,union_hc
